task_id,benchmark,policy,cost_model,n_steps,n_compactions,total_prompt_tokens,total_cached_tokens,total_completion_tokens,lifetime_cost,uncached_dollars,cached_dollars,output_dollars,compaction_dollars
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,23,2,125039,101049,4795,0.0663389,0.02399,0.010104900000000002,0.023975,0.008269
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,23,2,125039,101049,4795,0.19901670000000002,0.07197,0.030314699999999997,0.071925,0.024807
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,23,2,125039,101049,4795,0.0306805,0.009596,0.010104900000000002,0.007672,0.0033076000000000004
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,23,2,125039,101049,4795,0.1534025,0.04798,0.0505245,0.03836,0.016538
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,23,2,125039,101049,4795,0.00567489,0.002399,0.00101049,0.0014385,0.0008269000000000001
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,23,14,212897,170234,4795,0.1261374,0.042663,0.0170234,0.023975,0.042476
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,23,14,212897,170234,4795,0.3784122,0.127989,0.051070199999999996,0.071925,0.127428
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,23,14,212897,170234,4795,0.058751,0.0170652,0.0170234,0.007672,0.016990400000000003
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,23,14,212897,170234,4795,0.293755,0.085326,0.085117,0.03836,0.084952
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,23,14,212897,170234,4795,0.01165474,0.0042663,0.00170234,0.0014385,0.004247600000000001
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,23,0,254644,233764,4795,0.0682314,0.02088,0.023376400000000002,0.023975,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,23,0,254644,233764,4795,0.2046942,0.06264,0.0701292,0.071925,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,23,0,254644,233764,4795,0.0394004,0.008352,0.023376400000000002,0.007672,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,23,0,254644,233764,4795,0.197002,0.04176,0.116882,0.03836,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,23,0,254644,233764,4795,0.0058641399999999995,0.002088,0.0023376399999999998,0.0014385,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,7,0,90463,73119,1401,0.0316609,0.017344,0.0073119000000000005,0.007005,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,7,0,90463,73119,1401,0.0949827,0.052032,0.021935700000000002,0.021015,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,none,openai/gpt-4.1-mini,7,0,90463,73119,1401,0.0164911,0.0069376,0.0073119000000000005,0.0022416,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,none,openai/gpt-4.1,7,0,90463,73119,1401,0.08245549999999999,0.034688,0.0365595,0.011208,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,7,0,90463,73119,1401,0.0028858900000000003,0.0017344,0.00073119,0.0004203,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,7,5,64819,40673,1401,0.0489603,0.024146,0.0040673,0.007005,0.013742
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,7,5,64819,40673,1401,0.14688089999999998,0.072438,0.0122019,0.021015,0.041226
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,7,5,64819,40673,1401,0.0214641,0.0096584,0.0040673,0.0022416,0.0054968000000000005
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,7,5,64819,40673,1401,0.10732050000000001,0.048292,0.0203365,0.011208,0.027484
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,7,5,64819,40673,1401,0.0046158300000000005,0.0024146,0.00040673,0.0004203,0.0013742000000000001
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,7,2,47234,23811,1401,0.0442901,0.023423,0.0023810999999999997,0.007005,0.011481
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,7,2,47234,23811,1401,0.1328703,0.070269,0.0071433,0.021015,0.034443
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,7,2,47234,23811,1401,0.0185843,0.009369200000000001,0.0023810999999999997,0.0022416,0.004592400000000001
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,7,2,47234,23811,1401,0.09292149999999999,0.046846,0.0119055,0.011208,0.022962
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,7,2,47234,23811,1401,0.004148810000000001,0.0023423000000000003,0.00023811,0.0004203,0.0011481000000000002
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,7,0,90463,73119,1401,0.0316609,0.017344,0.0073119000000000005,0.007005,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,7,0,90463,73119,1401,0.0949827,0.052032,0.021935700000000002,0.021015,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,7,0,90463,73119,1401,0.0164911,0.0069376,0.0073119000000000005,0.0022416,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,7,0,90463,73119,1401,0.08245549999999999,0.034688,0.0365595,0.011208,0.0
ac_agentic_coding_8k-00005,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,7,0,90463,73119,1401,0.0028858900000000003,0.0017344,0.00073119,0.0004203,0.0
